Date,Positive ,Negative ,PropPositive
3/20/20,32,749,4.09731114
3/21/20,36,277,11.50159744
3/22/20,53,351,13.11881188
3/23/20,46,245,15.80756014
3/24/20,49,238,17.07317073
3/25/20,100,1413,6.609385327
3/26/20,93,859,9.768907563
3/27/20,126,1044,10.76923077
3/28/20,189,1591,10.61797753
3/29/20,18,229,7.287449393
3/30/20,299,2553,10.48387097
3/31/20,82,672,10.87533156
4/1/20,13,193,6.310679612
4/2/20,249,935,21.03040541
4/3/20,84,1271,6.199261993
4/4/20,227,1028,18.0876494
4/5/20,94,1204,7.241910632
4/6/20,181,1029,14.95867769
4/7/20,163,1052,13.41563786
4/8/20,128,186,40.76433121
4/9/20,122,1262,8.815028902
4/10/20,199,944,17.41032371
4/11/20,155,805,16.14583333
4/12/20,150,1008,12.95336788
4/13/20,299,1574,15.96369461
4/14/20,117,789,12.91390728
4/15/20,186,1135,14.08024224
4/16/20,254,2340,9.791827294
4/17/20,183,1208,13.15600288
4/18/20,217,1213,15.17482517
4/19/20,223,1362,14.06940063
4/20/20,181,1060,14.58501209
4/21/20,191,1193,13.80057803
4/22/20,166,1456,10.23427867
4/23/20,312,2851,9.864053114
4/24/20,247,1537,13.84529148
4/25/20,,,
4/26/20,,,
4/27/20,,,
4/28/20,,,
4/29/20,66,787,7.737397421
4/30/20,183,3640,4.786816636
5/1/20,107,1839,5.498458376
5/2/20,60,1122,5.076142132
5/3/20,66,785,7.755581669
5/4/20,108,2090,4.91355778
5/5/20,63,1805,3.372591006
5/6/20,80,1458,5.201560468
5/7/20,47,5356,0.8698871
5/8/20,49,1470,3.225806452
5/9/20,89,654,11.97846568
5/10/20,22,2180,0.999091735
5/11/20,68,1744,3.752759382
5/12/20,61,1332,4.379038047
5/13/20,52,2155,2.356139556
5/14/20,69,1150,5.660377358
5/15/20,41,499,7.592592593
5/16/20,81,1344,5.684210526
5/17/20,78,1956,3.83480826
5/18/20,47,2476,1.862861673
5/19/20,45,6470,0.690713738
5/20/20,109,4259,2.495421245
5/21/20,64,3411,1.841726619
5/22/20,72,3400,2.073732719
5/23/20,41,1168,3.391232423
5/24/20,78,3557,2.145804677
