Date,Positive ,Negative ,PropPositive
3/20/20,23,146,13.60946746
3/21/20,53,419,11.22881356
3/22/20,83,452,15.51401869
3/23/20,44,241,15.43859649
3/24/20,90,491,15.49053356
3/25/20,154,"1,079",12.48986212
3/26/20,178,749,19.201726
3/27/20,205,"1,066",16.12903226
3/28/20,270,917,22.74641955
3/29/20,362,"1,248",22.48447205
3/30/20,278,963,22.40128928
3/31/20,461,"1,613",22.22757956
4/1/20,272,"1,569",14.77457903
4/2/20,544,2413,18.39702401
4/3/20,625,1878,24.97003596
4/4/20,531,2521,17.39842726
4/5/20,311,1260,19.79630808
4/6/20,556,2309,19.40663176
4/7/20,493,1990,19.8550141
4/8/20,488,1113,30.48094941
4/9/20,435,2636,14.16476718
4/10/20,542,2505,17.78798819
4/11/20,563,2732,17.08649469
4/12/20,364,1614,18.40242669
4/13/20,477,2267,17.38338192
4/14/20,364,1663,17.95757277
4/15/20,438,2392,15.4770318
4/16/20,536,2767,16.22767181
4/17/20,519,2901,15.1754386
4/18/20,296,1509,16.39889197
4/19/20,465,2690,14.7385103
4/20/20,413,3232,11.33058985
4/21/20,577,4230,12.00332848
4/22/20,465,2701,14.68730259
4/23/20,619,3647,14.5100797
4/24/20,552,2852,16.21621622
4/25/20,564,4136,12
4/26/20,384,2576,12.97297297
4/27/20,446,2789,13.78670788
4/28/20,213,1333,13.7774903
4/29/20,309,1704,15.35022355
4/30/20,333,3724,8.208035494
5/1/20,250,3616,6.466632178
5/2/20,144,2183,6.188225183
5/3/20,295,2896,9.244750862
5/4/20,151,3900,3.727474698
5/5/20,165,2231,6.886477462
5/6/20,153,2296,6.247447938
5/7/20,95,2091,4.345837145
5/8/20,165,2615,5.935251799
5/9/20,225,2208,9.24784217
5/10/20,159,2546,5.878003697
5/11/20,164,3420,4.575892857
5/12/20,153,1660,8.439051296
5/13/20,274,2214,11.01286174
5/14/20,213,1726,10.98504384
5/15/20,177,1927,8.412547529
5/16/20,544,3047,15.14898357
5/17/20,164,4218,3.742583295
5/18/20,123,5310,2.263942573
5/19/20,66,13671,0.480454248
5/20/20,343,7304,4.485419119
5/21/20,190,2649,6.692497358
5/22/20,158,3143,4.786428355
5/23/20,123,2491,4.705432288
5/24/20,219,5545,3.79944483
5/25/20,113,2819,3.854024557
5/26/20,100,1786,5.302226935
5/27/20,143,2693,5.042313117
5/28/20,259,5673,4.366149697
5/29/20,165,2458,6.290507053
5/30/20,202,4115,4.679175353
5/31/20,138,2921,4.511278195
6/1/20,83,1042,7.377777778
6/2/20,250,4639,5.113520147
6/3/20,274,4952,5.243015691
6/4/20,217,3909,5.259331071
6/5/20,233,3111,6.967703349
6/6/20,328,8882,3.561346363
6/7/20,226,2674,7.793103448
6/8/20,231,4255,5.149353544
