Date,Positive ,Negative ,PropPositive
3/20/20,13,229,5.371900826
3/21/20,14,84,14.28571429
3/22/20,16,54,22.85714286
3/23/20,17,135,11.18421053
3/24/20,15,87,14.70588235
3/25/20,37,401,8.447488584
3/26/20,33,180,15.49295775
3/27/20,67,211,24.10071942
3/28/20,77,231,25
3/29/20,15,31,32.60869565
3/30/20,130,539,19.43198804
3/31/20,88,414,17.52988048
4/1/20,16,113,12.40310078
4/2/20,170,364,31.83520599
4/3/20,44,526,7.719298246
4/4/20,127,446,22.16404887
4/5/20,92,455,16.8190128
4/6/20,69,276,20
4/7/20,90,466,16.18705036
4/8/20,47,135,25.82417582
4/9/20,127,586,17.81206171
4/10/20,98,462,17.5
4/11/20,220,1987,9.968282737
4/12/20,63,279,18.42105263
4/13/20,81,352,18.70669746
4/14/20,71,275,20.52023121
4/15/20,99,316,23.85542169
4/16/20,165,1467,10.11029412
4/17/20,192,2332,7.606973059
4/18/20,61,349,14.87804878
4/19/20,52,312,14.28571429
4/20/20,112,1418,7.320261438
4/21/20,144,1970,6.811731315
4/22/20,111,1373,7.479784367
4/23/20,167,996,14.35941531
4/24/20,65,456,12.47600768
4/25/20,,,
4/26/20,,,
4/27/20,,,
4/28/20,,,
4/29/20,57,637,8.213256484
4/30/20,74,1192,5.845181675
5/1/20,39,886,4.216216216
5/2/20,51,657,7.203389831
5/3/20,172,2312,6.92431562
5/4/20,82,2250,3.516295026
5/5/20,100,1651,5.711022273
5/6/20,86,1076,7.401032702
5/7/20,35,1162,2.923976608
5/8/20,171,1117,13.27639752
5/9/20,78,897,8
5/10/20,22,1052,2.048417132
5/11/20,124,1198,9.379727685
5/12/20,143,2322,5.801217039
5/13/20,120,1418,7.802340702
5/14/20,112,1174,8.709175739
5/15/20,29,325,8.192090395
5/16/20,109,1316,7.649122807
5/17/20,113,1326,7.852675469
5/18/20,57,1906,2.903718798
5/19/20,67,4512,1.463201572
5/20/20,189,3207,5.565371025
5/21/20,100,1264,7.331378299
5/22/20,80,1553,4.898958971
5/23/20,45,884,4.843918192
5/24/20,148,2866,4.910418049
5/25/20,81,1347,5.672268908
5/26/20,36,1000,3.474903475
5/27/20,82,1352,5.718270572
5/28/20,227,3455,6.165127648
5/29/20,91,817,10.02202643
5/30/20,150,1900,7.317073171
5/31/20,143,2236,6.010928962
6/1/20,79,782,9.175377468
6/2/20,248,2101,10.55768412
6/3/20,153,3347,4.371428571
6/4/20,154,2966,4.935897436
6/5/20,173,2246,7.151715585
6/6/20,244,4541,5.099268548
6/7/20,114,1562,6.801909308
6/8/20,203,2676,7.051059396
6/9/20,158,1486,9.610705596
6/10/20,189,1597,10.58230683
6/11/20,197,2148,8.400852878
6/12/20,360,3142,10.27984009
6/13/20,375,4189,8.216476775
6/14/20,175,1812,8.807247106
6/15/20,260,2428,9.672619048
6/16/20,225,1740,11.45038168
6/17/20,344,2222,13.4060795
6/18/20,230,2773,7.659007659
6/19/20,365,2260,13.9047619
6/20/20,336,3118,9.727851766
6/21/20,168,2611,6.04534005
6/22/20,282,2380,10.59353869
6/23/20,352,1587,18.15368747
6/24/20,310,3216,8.791832104
6/25/20,646,5382,10.71665561
6/26/20,435,3691,10.54289869
6/27/20,456,4911,8.496366685
6/28/20,335,3088,9.786736781
6/29/20,435,2582,14.41829632
6/30/20,295,1760,14.35523114
7/1/20,408,2826,12.61595547
7/2/20,465,3286,12.39669421
7/3/20,823,5287,13.46972177
7/4/20,682,4229,13.88719202
7/5/20,393,2420,13.97084963
7/6/20,385,2073,15.66314076
7/7/20,591,3872,13.24221376
7/8/20,423,2534,14.30503889
7/9/20,569,4385,11.48566815
7/10/20,611,3708,14.14679324
7/11/20,1165,9783,10.64121301
7/12/20,778,6255,11.06213565
7/13/20,469,2452,16.05614516
7/14/20,494,4048,10.87626596
7/15/20,913,7202,11.25077018
7/16/20,647,5426,10.65371316
7/17/20,683,6632,9.336978811
7/18/20,733,5688,11.41566734
7/19/20,648,4211,13.33607738
7/20/20,521,3502,12.95053443
7/21/20,549,5757,8.705994291
7/22/20,756,5961,11.25502456
7/23/20,731,5280,12.1610381
7/24/20,702,6579,9.641532756
7/25/20,598,5461,9.869615448
7/26/20,632,6518,8.839160839
7/27/20,620,5075,10.88674276
7/28/20,577,6100,8.641605511
7/29/20,506,4874,9.405204461
7/30/20,572,5455,9.490625519
7/31/20,580,6012,8.798543689
8/1/20,376,4224,8.173913043
8/2/20,312,2885,9.759149202
8/3/20,325,2915,10.0308642
8/4/20,351,3192,9.906858594
8/5/20,444,5275,7.763595034
8/6/20,366,4605,7.362703681
8/7/20,449,5498,7.550025223
8/8/20,417,5454,7.102708227
8/9/20,281,3569,7.298701299
8/10/20,342,3560,8.764736033
8/11/20,287,4368,6.165413534
8/12/20,274,3534,7.195378151
8/13/20,362,5129,6.592606083
8/14/20,316,4823,6.149056237
8/15/20,231,3200,6.732730982
8/16/20,149,1922,7.194591985
8/17/20,185,3098,5.635089857
8/18/20,206,3334,5.81920904
8/19/20,223,4073,5.190875233
8/20/20,264,4776,5.238095238
8/21/20,223,5238,4.08350119
8/22/20,187,5097,3.538985617
8/23/20,164,2864,5.416116248
8/24/20,145,2761,4.989676531
8/25/20,164,3835,4.101025256
8/26/20,169,3243,4.953106682
8/27/20,286,5379,5.048543689
8/28/20,206,4401,4.471456479
8/29/20,213,4316,4.70302495
8/30/20,94,2909,3.13020313
8/31/20,147,4343,3.273942094
9/1/20,154,3532,4.1779707
9/2/20,151,3302,4.373008978
9/3/20,150,3903,3.70096225
9/4/20,161,4793,3.249899071
9/5/20,164,4135,3.814840661
9/6/20,118,3704,3.087388802
9/7/20,118,2268,4.945515507
9/8/20,133,2169,5.777584709
9/9/20,104,2711,3.694493783
9/10/20,184,3879,4.528673394
9/11/20,158,4938,3.100470958
9/12/20,155,4640,3.232533889
9/13/20,125,4061,2.98614429
9/14/20,161,3712,4.15698425
9/15/20,164,3868,4.067460317
9/16/20,229,5313,4.132082281
9/17/20,226,5707,3.809202764
9/18/20,247,5808,4.079273328
9/19/20,180,3680,4.663212435
9/20/20,94,2874,3.167115903
9/21/20,172,2358,6.798418972
9/22/20,146,3135,4.449862847
9/23/20,121,3645,3.212958046
9/24/20,160,5342,2.908033442
9/25/20,163,4896,3.221980629
9/26/20,97,3148,2.989214176
9/27/20,28,1334,2.055800294
9/28/20,171,4036,4.064654148
9/29/20,73,2276,3.107705407
9/30/20,161,3705,4.164511123
10/1/20,138,5596,2.406696896
10/2/20,126,3514,3.461538462
10/3/20,115,3480,3.198887344
10/4/20,73,2354,3.007828595
10/5/20,101,2459,3.9453125
10/6/20,135,4771,2.751732572
10/7/20,143,4592,3.020063358
10/8/20,125,5102,2.391429118
10/9/20,156,4827,3.13064419
10/10/20,156,4828,3.130016051
10/11/20,54,2816,1.881533101
10/12/20,135,3159,4.098360656
10/13/20,162,3433,4.506258693
10/14/20,158,4046,3.758325404
10/15/20,166,4842,3.314696486
10/16/20,206,5163,3.836841125
10/17/20,137,3334,3.94698934
10/18/20,63,2340,2.621722846
10/19/20,232,3990,5.495026054
10/20/20,83,1786,4.440877475
10/21/20,357,6155,5.482186732
10/22/20,237,7132,3.216175872
10/23/20,322,11727,2.672420948
10/24/20,208,3838,5.140879881
10/25/20,275,4218,6.120632094
10/26/20,359,3979,8.275703089
10/27/20,243,4576,5.042539946
10/28/20,360,5849,5.79803511
10/29/20,404,6827,5.587055732
10/30/20,260,3256,7.39476678
10/31/20,325,6430,4.811250925
11/1/20,216,3249,6.233766234
11/2/20,367,4018,8.369441277
11/3/20,283,3429,7.623922414
11/4/20,444,5690,7.238343658
11/5/20,360,7497,4.581901489
11/6/20,376,4499,7.712820513
11/7/20,445,7200,5.820797907
11/8/20,355,3762,8.62278358
11/9/20,329,3802,7.964173324
11/10/20,365,3985,8.390804598
11/11/20,387,4963,7.23364486
11/12/20,440,4460,8.979591837
11/13/20,297,2670,10.01011122
11/14/20,731,9753,6.972529569
11/15/20,340,4107,7.645603778
11/16/20,390,3502,10.02055498
11/17/20,503,5045,9.066330209
11/18/20,561,7162,7.264016574
11/19/20,485,6948,6.524956276
11/20/20,579,8154,6.630024047
11/21/20,481,6930,6.490352179
11/22/20,451,6495,6.49294558
11/23/20,405,6236,6.098479145
11/24/20,439,5758,7.084072939
11/25/20,599,10513,5.390568754
11/26/20,524,8840,5.595899188
11/27/20,357,5950,5.660377358
11/28/20,331,4356,7.062086623
11/29/20,349,4261,7.570498915
11/30/20,553,4992,9.972948602
12/1/20,470,5380,8.034188034
12/2/20,657,8106,7.497432386
12/3/20,624,8441,6.883618312
12/4/20,631,9139,6.458546571
12/5/20,514,7182,6.678794179
12/6/20,410,5234,7.264351524
12/7/20,433,4914,8.097998878
12/8/20,453,5650,7.422579059
12/9/20,640,8473,7.02293427
12/10/20,694,8140,7.856010867
12/11/20,550,8146,6.32474701
12/12/20,450,7000,6.040268456
12/13/20,367,6032,5.735271136
12/14/20,461,5111,8.273510409
12/15/20,455,4984,8.365508366
12/16/20,767,9757,7.288103383
12/17/20,752,9523,7.318734793
12/18/20,554,7468,6.906008477
12/19/20,439,6257,6.556152927
12/20/20,605,8161,6.901665526
12/21/20,483,6278,7.143913622
12/22/20,433,5341,7.499134049
12/23/20,657,9015,6.79280397
12/24/20,626,9165,6.3936268
12/25/20,347,5402,6.035832319
12/26/20,377,4796,7.287840711
12/27/20,611,5119,10.66317627
12/28/20,511,2066,19.82925883
12/29/20,493,6401,7.151145924
12/30/20,948,8592,9.937106918
12/31/20,1243,11792,9.535864979
1/1/21,780,8656,8.266214498
1/2/21,502,6117,7.584227225
1/3/21,804,5911,11.97319434
1/4/21,547,4417,11.01933924
1/5/21,810,6230,11.50568182
1/6/21,1148,9961,10.33396345
1/7/21,1184,10905,9.794027628
1/8/21,955,8939,9.652314534
1/9/21,665,7088,8.577324906
1/10/21,819,8296,8.985189248
1/11/21,729,6318,10.34482759
1/12/21,693,6451,9.700447928
1/13/21,855,12648,6.331926239
1/14/21,1176,10861,9.769876215
1/15/21,647,8151,7.353944078
1/16/21,773,8683,8.174703892
1/17/21,507,5218,8.855895197
1/18/21,609,5630,9.761179676
1/19/21,666,5630,10.57814485
1/20/21,830,10293,7.462015643
1/21/21,788,6313,11.09702859
1/22/21,792,12508,5.954887218
1/23/21,593,6413,8.464173566
1/24/21,596,5825,9.282043295
1/25/21,576,5381,9.669296626
1/26/21,424,4121,9.328932893
1/27/21,816,9259,8.099255583
1/28/21,841,5887,12.5
1/29/21,1124,15231,6.87251605
1/30/21,543,9296,5.518853542
1/31/21,352,3893,8.292108363
2/1/21,527,6131,7.915289877
2/2/21,401,4747,7.789432789
2/3/21,620,5681,9.839707983
2/4/21,837,13158,5.980707395
2/5/21,519,7011,6.892430279
2/6/21,376,6548,5.43038706
2/7/21,395,5401,6.815044859
2/8/21,380,4530,7.739307536
2/9/21,547,6839,7.40590306
2/10/21,559,9213,5.720425706
2/11/21,502,7336,6.404695075
2/12/21,614,7358,7.701956849
2/13/21,383,5251,6.79801207
2/14/21,334,3164,9.548313322
2/15/21,356,5937,5.657079294
2/16/21,644,7601,7.810794421
2/17/21,403,6120,6.178138893
2/18/21,471,7165,6.168150864
2/19/21,531,8778,5.704157267
2/20/21,314,5028,5.877948334
2/21/21,280,3816,6.8359375
2/22/21,310,4466,6.49078727
2/23/21,697,9077,7.131164313
2/24/21,508,8628,5.560420315
2/25/21,533,8852,5.67927544
2/26/21,412,6566,5.904270565
2/27/21,407,6198,6.161998486
2/28/21,140,1873,6.95479384
3/1/21,348,5998,5.483769303
3/2/21,385,5689,6.338491933
3/3/21,559,8613,6.094635848
3/4/21,461,8400,5.202573073
3/5/21,323,6874,4.487981103
3/6/21,284,4792,5.594956659
3/7/21,230,3653,5.923255215
3/8/21,256,4032,5.970149254
3/9/21,443,7473,5.596260738
3/10/21,396,7517,5.004423101
3/11/21,430,7926,5.146002872
3/12/21,411,7569,5.15037594
3/13/21,364,5025,6.754499907
3/14/21,195,2689,6.761442441
3/15/21,294,4280,6.427634456
3/16/21,368,6452,5.395894428
3/17/21,376,7015,5.087268299
3/18/21,377,7336,4.887851679
3/19/21,326,5805,5.317240254
3/20/21,302,4556,6.216550021
3/21/21,168,2454,6.407322654
3/22/21,301,4519,6.244813278
3/23/21,405,6689,5.709049901
3/24/21,460,7156,6.039915966
3/25/21,418,7520,5.265810028
3/26/21,433,6114,6.613716206
3/27/21,366,5383,6.366324578
3/28/21,186,2873,6.080418437
3/29/21,326,4444,6.834381551
3/30/21,341,5025,6.354826687
3/31/21,503,8132,5.825130284
4/1/21,411,7721,5.054107231
4/2/21,412,5824,6.60679923
4/3/21,326,4950,6.178923427
4/4/21,284,3347,7.821536767
4/5/21,256,3735,6.414432473
4/6/21,492,6577,6.959966049
4/7/21,508,7391,6.431193822
4/8/21,468,7433,5.923300848
4/9/21,423,6611,6.013647995
4/10/21,351,4982,6.581661354
4/11/21,97,1291,6.988472622
4/12/21,465,5941,7.258819856
4/13/21,448,5966,6.984720923
4/14/21,412,6834,5.685895667
4/15/21,511,7726,6.203714945
4/16/21,410,6306,6.1048243
4/17/21,443,4970,8.184001478
4/18/21,231,2867,7.456423499
4/19/21,296,3985,6.914272366
4/20/21,366,6086,5.67265964
4/21/21,516,7702,6.278899976
4/22/21,279,4953,5.332568807
4/23/21,550,8037,6.405030861
4/24/21,313,4593,6.379942927
4/25/21,206,2925,6.579367614
4/26/21,300,3893,7.154781779
4/27/21,394,6239,5.939996985
4/28/21,371,6930,5.081495686
4/29/21,298,5625,5.031234172
4/30/21,341,6728,4.823878908
5/1/21,237,4731,4.770531401
5/2/21,200,3141,5.986231667
5/3/21,179,2947,5.726167626
5/4/21,289,5980,4.609985644
5/5/21,285,6097,4.465684738
5/6/21,275,6759,3.90958203
5/7/21,229,5909,3.730856957
5/8/21,204,3945,4.916847433
